Game Number,Gamemode,Result,Winner,Game Length,Starting Cell,Final Board State
119,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', ' ', ' ', 'X', 'O', 'O', 'O', 'X']"
120,"('Simulation Play', 'Random')",Draw,None,9,2,"['X', 'X', 'O', 'O', 'O', 'X', 'X', 'X', 'O']"
121,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'O', ' ', 'O', 'X', 'O', 'X', 'X']"
122,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'O', 'O', 'X', 'X', 'X', 'X']"
123,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', 'O', 'O', 'O', 'X', 'O', 'X', ' ']"
124,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'O', 'O', 'X', 'X', 'O', 'X']"
125,"('Simulation Play', 'Random')",Winner,O,6,2,"[' ', 'X', 'O', ' ', 'O', 'X', 'O', 'X', ' ']"
126,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'O', 'X', 'O', 'X', 'O', ' ', 'X']"
127,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'O', ' ', 'O', 'X', 'O', 'X', 'X']"
128,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', 'X', 'O', 'X', ' ', ' ', 'X', 'O']"
129,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'O', 'X', 'X', 'O', 'X', 'O', 'X']"
130,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', ' ', 'X', 'X', 'X', 'O', 'O', ' ']"
131,"('Simulation Play', 'Random')",Winner,O,6,2,"[' ', 'X', 'O', 'X', ' ', 'O', ' ', 'X', 'O']"
132,"('Simulation Play', 'Random')",Draw,None,9,2,"['X', 'X', 'O', 'O', 'O', 'X', 'X', 'O', 'X']"
133,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', 'X', 'O', 'O', ' ', ' ', 'X', 'O']"
134,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', 'X', 'O', 'X', 'O', 'O', ' ', ' ']"
135,"('Simulation Play', 'Random')",Winner,X,5,2,"[' ', 'X', ' ', ' ', 'X', 'O', ' ', 'X', 'O']"
136,"('Simulation Play', 'Random')",Draw,None,9,2,"['X', 'X', 'O', 'O', 'X', 'X', 'X', 'O', 'O']"
137,"('Simulation Play', 'Random')",Winner,X,5,2,"[' ', 'X', ' ', 'O', 'X', ' ', ' ', 'X', 'O']"
138,"('Simulation Play', 'Random')",Winner,O,6,2,"['X', 'X', 'O', ' ', ' ', 'O', ' ', 'X', 'O']"
139,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'X', 'X', 'X', 'O', 'O', 'O', 'X']"
140,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', 'O', 'X', 'X', ' ', 'O', 'X', ' ']"
141,"('Simulation Play', 'Random')",Winner,X,5,2,"[' ', 'X', 'O', ' ', 'X', 'O', ' ', 'X', ' ']"
142,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'O', 'O', 'X', 'X', 'O', 'O', 'X']"
143,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', 'O', 'O', 'X', 'O', 'X', ' ', 'O']"
144,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', 'X', ' ', 'O', 'O', 'X', 'O', ' ']"
145,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'X', 'O', 'X', 'O', 'O', 'X']"
146,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'X', 'X', 'O', 'X', 'O', 'O']"
147,"('Simulation Play', 'Random')",Winner,X,5,2,"['X', 'X', 'X', ' ', ' ', ' ', 'O', 'O', ' ']"
148,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'X', 'X', 'X', 'X', 'O', 'O']"
149,"('Simulation Play', 'Random')",Winner,X,7,2,"[' ', 'X', 'O', 'X', 'X', 'X', ' ', 'O', 'O']"
150,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'O', 'X', 'O', 'X', 'X', 'O', 'X']"
151,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', 'X', ' ', 'O', 'O', ' ', 'X', 'O']"
152,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', ' ', 'X', 'X', 'X', 'O', 'O', ' ']"
153,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', 'X', ' ', 'X', 'O', 'X', ' ', 'O']"
154,"('Simulation Play', 'Random')",Winner,O,8,2,"[' ', 'X', 'O', 'X', 'O', 'O', 'X', 'X', 'O']"
155,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', ' ', 'O', 'O', 'O', 'X', 'O', 'X']"
156,"('Simulation Play', 'Random')",Winner,O,6,2,"['O', 'X', ' ', 'O', 'X', 'X', 'O', ' ', ' ']"
157,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'X', 'O', 'O', 'O', 'X', ' ', 'X']"
158,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'X', 'X', 'O', 'O', 'X', 'O']"
159,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'X', 'X', 'X', 'O', 'O', 'X']"
160,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'X', 'X', 'O', 'X', 'O', ' ', 'O']"
161,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', ' ', 'O', 'O', ' ', 'X', 'X', 'X']"
162,"('Simulation Play', 'Random')",Winner,X,5,2,"['X', 'X', 'X', ' ', 'O', ' ', 'O', ' ', ' ']"
163,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', 'O', 'X', 'O', ' ', 'O', 'O', 'X']"
164,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'O', 'O', 'X', 'X', 'X', 'X']"
165,"('Simulation Play', 'Random')",Winner,O,6,2,"[' ', 'X', 'X', 'O', 'O', 'O', ' ', 'X', ' ']"
166,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', ' ', 'X', 'X', ' ', 'O', 'X', 'O']"
167,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'X', 'O', 'O', 'O', 'X', ' ', 'X']"
168,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', 'O', ' ', 'X', 'O', ' ', 'O', 'X']"
169,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', 'O', ' ', 'X', 'O', 'O', ' ', 'X']"
170,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', 'O', 'O', 'X', 'O', 'X', ' ', 'O']"
171,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'O', 'O', 'X', 'O', 'X', 'O', 'X']"
172,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'O', 'O', 'X', 'X', 'O', 'X']"
173,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'X', 'X', 'O', 'O', 'X', 'O', 'X']"
174,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'O', 'X', 'O', ' ', 'O', 'X', 'X']"
175,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', 'X', ' ', 'X', 'O', 'O', 'X', ' ']"
176,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'O', 'X', 'O', 'X', 'X', 'O', 'X']"
177,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', 'O', 'X', 'X', 'X', ' ', ' ', 'O']"
178,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'X', 'X', 'O', 'X', 'O', ' ', 'O']"
179,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', ' ', 'O', 'X', 'O', ' ', 'X', 'O']"
180,"('Simulation Play', 'Random')",Winner,O,6,2,"['O', 'X', 'X', ' ', 'O', ' ', ' ', 'X', 'O']"
181,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'O', 'O', 'X', 'O', 'X', 'O', 'X']"
182,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'O', 'O', 'X', 'X', 'O', 'X']"
183,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', 'O', ' ', 'X', 'X', 'O', 'X', ' ']"
184,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'O', 'O', 'X', 'O', 'X', 'O', 'X']"
185,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', ' ', 'O', 'X', 'X', 'O', 'O', 'O']"
186,"('Simulation Play', 'Random')",Winner,O,6,2,"['O', 'X', 'X', 'O', ' ', ' ', 'O', ' ', 'X']"
187,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', 'X', 'X', ' ', 'O', 'O', ' ', 'O']"
188,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'O', 'X', 'O', 'X', 'X', 'O', 'O']"
189,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'O', 'O', 'X', 'X', 'X', 'O', 'X']"
190,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', 'X', 'X', ' ', 'O', 'O', ' ', 'O']"
191,"('Simulation Play', 'Random')",Winner,X,7,2,"[' ', 'X', 'O', 'X', 'X', 'X', 'O', ' ', 'O']"
192,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'X', 'X', 'O', 'O', 'X', 'O', 'X']"
193,"('Simulation Play', 'Random')",Draw,None,9,2,"['X', 'X', 'O', 'O', 'O', 'X', 'X', 'O', 'X']"
194,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'X', 'X', 'X', 'O', 'O', 'O', 'X']"
195,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'X', 'X', 'O', 'O', 'O', 'X', 'X']"
196,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'O', 'O', 'X', 'X', 'X', 'X']"
197,"('Simulation Play', 'Random')",Winner,X,5,2,"['X', 'X', 'X', ' ', 'O', ' ', ' ', ' ', 'O']"
198,"('Simulation Play', 'Random')",Winner,O,6,2,"['O', 'X', ' ', 'X', 'O', 'X', ' ', ' ', 'O']"
199,"('Simulation Play', 'Random')",Winner,O,6,2,"['X', 'X', ' ', ' ', ' ', 'X', 'O', 'O', 'O']"
200,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', 'O', ' ', 'X', 'O', 'X', 'X', ' ']"
201,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', 'X', ' ', 'O', 'O', 'X', ' ', 'O']"
202,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', 'O', 'X', 'X', 'X', ' ', ' ', 'O']"
203,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', 'X', 'X', 'O', 'O', ' ', ' ', 'O']"
204,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'O', 'X', 'X', 'X', 'O', 'O']"
205,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'O', 'O', 'X', 'X', 'O', 'X', 'O']"
206,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'O', 'X', 'O', 'X', 'O', 'X']"
207,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'O', 'X', 'O', 'X', 'X', 'O', 'O']"
208,"('Simulation Play', 'Random')",Winner,O,6,2,"['X', 'X', ' ', ' ', ' ', 'X', 'O', 'O', 'O']"
209,"('Simulation Play', 'Random')",Winner,O,8,2,"[' ', 'X', 'X', 'X', 'X', 'O', 'O', 'O', 'O']"
210,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', 'O', 'X', ' ', 'O', 'O', 'X', 'O']"
211,"('Simulation Play', 'Random')",Winner,O,6,2,"[' ', 'X', 'O', 'X', 'X', 'O', ' ', ' ', 'O']"
212,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'X', 'X', 'O', 'O', 'X', 'O', 'O']"
213,"('Simulation Play', 'Random')",Winner,X,5,2,"[' ', 'X', ' ', ' ', 'X', 'O', ' ', 'X', 'O']"
